"Raman Shift [cm -1]","RD1","RD2","RD3","RD4","RD5","RD6","RD7","RD8","RD9"
"1060","409.051","198.455","470.237","975.155","1555.74","727.103","713.729","212.476","421.227"
"1061","407.476","196.254","469.826","971.621","1549.44","722.849","710.566","211.966","418.694"
"1062","405.753","193.341","469.308","968.915","1544.25","718.89","707.209","211.67","416.937"
"1063","404.021","193.633","469.527","966.885","1539.93","715.31","703.961","211.376","415.163"
"1064","402.287","192.479","469.689","964.536","1536.58","712.379","701.114","211.004","413.87"
"1065","400.878","191.536","469.657","962.227","1534.38","710.924","699.499","210.952","412.248"
"1066","399.545","190.594","469.048","959.776","1533.22","710.201","698.136","210.762","410.045"
"1067","398.96","189.93","468.88","958.62","1533.09","710.35","697.68","210.26","409.41"
"1068","397.249","188.031","468.653","955.43","1532.59","711.435","696.521","209.44","407.968"
"1069","396.252","187.126","465.822","953.56","1531.52","712.721","693.047","208.751","407.209"
"1070","395.345","186.521","462.667","951.898","1530.65","714.414","690.762","208.556","406.364"
"1071","394.567","186.202","459.391","950.447","1530.81","715.788","690.08","208.098","405.632"
"1072","393.983","186.501","456.052","949.178","1532.21","717.024","690.499","207.576","405.609"
"1073","393.533","186.87","454.196","948.181","1532.81","717.872","691.205","207.271","406.106"
"1074","393.133","187.538","452.702","947.156","1533.27","718.421","692.615","206.634","405.673"
"1075","393.179","187.816","451.949","946.462","1533.47","718.655","694.215","206.491","404.847"
"1076","393.379","188.281","451.558","946.472","1533.46","718.546","694.325","206.008","404.415"
"1077","393.652","189.167","451.727","946.928","1533.79","718.173","694.23","205.666","403.636"
"1078","394.168","190.402","452.25","949.22","1534.12","716.441","693.706","205.894","402.586"
"1079","394.313","191.236","453.053","950.267","1534.48","714.374","692.732","206.632","402.055"
"1080","393.697","192.163","454.167","950.725","1534.77","712.38","691.862","206.845","401.547"
"1081","393.124","193.046","455.213","951.768","1535.02","710.85","690.967","207.565","401.444"
"1082","392.54","193.97","456.461","954.096","1535.1","711.381","690.431","209.172","402.041"
