"Raman Shift [cm -1]","normalized1","normalized2","normalized3","normalized4","normalized5","normalized6","normalized7","normalized8","normalized9"
"1375","-0.33224030670152926","-0.8184764783595081","-0.6112700781106427","-0.584499435276147","0.5027939125833627","0.41475849794066777","-0.6421381653320591","-0.5241497701408409","-0.5675483122449481"
"1376","-0.36689463415522505","-0.7029559416080076","-0.6915682130654416","-0.6355429421159787","0.45972858191900895","0.37735036443323694","-0.5994602223948647","-0.4796227057299683","-0.608061824136678"
"1377","-0.412498443508516","-0.6195744033778454","-0.7750051749045302","-0.6896131937174494","0.4145993567528848","0.3366350075511559","-0.552803525894965","-0.4584091686079187","-0.6569196307047079"
"1378","-0.4684794192272616","-0.553525442316209","-0.861073443357106","-0.7464665868886843","0.3714714368563412","0.292378232838404","-0.5947870982752804","-0.45038276873362276","-0.7086301296849864"
"1379","-0.5302588484276491","-0.5319540550688651","-0.9294671724063185","-0.7948897476410425","0.33361663639635575","0.24574525046621531","-0.6712146574235751","-0.46263184328462087","-0.7582508860343673"
"1380","-0.5955473830295485","-0.536352219637059","-0.9761252881255811","-0.8297636121841978","0.3015298840770224","0.19743482175502777","-0.7574147592922132","-0.49819420530330566","-0.7997411163277167"
"1381","-0.6626280136860712","-0.561784429979241","-1.0061243989385473","-0.8530385172365278","0.272929223226144","0.1488454177832377","-0.8384227543199702","-0.5499813575916442","-0.8446335318995488"
"1382","-0.7149028352880138","-0.6057829082472183","-1.0250487580369412","-0.8649583868785915","0.2482104369946739","0.10440753647303076","-0.9081718876873461","-0.6007784927068163","-0.8901823710176449"
"1383","-0.7575229360504915","-0.6572428170224093","-1.0323908228941556","-0.8613792340884187","0.22449654838632047","0.064120288486047","-0.9614043019182288","-0.6455223753187205","-0.9358385546145574"
"1384","-0.7916330067006894","-0.7124625082606537","-1.0327195390850632","-0.8491268335962806","0.20158832047617403","0.027049872774743525","-1.0207691780473167","-0.7034529144057825","-0.9920364359577127"
"1385","-0.82181178667694","-0.7442968906556408","-1.0341573924398053","-0.8347831829201381","0.17829478145903557","-0.006804569773239648","-1.0801997540226866","-0.7765952915685694","-1.0455959735610942"
"1386","-0.8543550380638906","-0.6959881030913635","-1.0417809685524226","-0.8200548231744283","0.1573919748527744","-0.03627772450065234","-1.134842614947744","-0.8700125813546762","-1.0866321521923545"
"1387","-0.8921244673928362","-0.6847532898800377","-1.0545750571479202","-0.8090860166220485","0.14026750952797046","-0.060437493004325514","-1.181057693061343","-0.9472499865244269","-1.1156942170005364"
"1388","-0.9425605138751003","-0.6834473521596224","-1.0608638086504185","-0.8001704787018312","0.12751560988921648","-0.08068407828135943","-1.216822717587994","-1.0386863568206777","-1.1163070805465065"
"1389","-1.0079525350736258","-0.7142798006969089","-1.062170249639821","-0.794527191109087","0.12181319097586797","-0.09515242396233714","-1.2401154152442377","-1.1190058359550052","-1.0703481348187178"
"1390","-1.0791430446915333","-0.7464039355833996","-1.0569715063263754","-0.7899623144953097","0.12276275858213455","-0.10500946988631982","-1.2517446592963817","-1.1851704498809712","-1.0206528429960202"
"1391","-1.1475468949044902","-0.7662471685738548","-1.0452676478778231","-0.7876948208658437","0.12838003439948148","-0.1111889082773434","-1.2500926212543233","-1.2260411762898904","-0.9749096642563557"
"1392","-1.2108746965124648","-0.7713416965483891","-1.0285816864036919","-0.787237269210427","0.13628405609291952","-0.11485764702704995","-1.233945919927219","-1.2436431959533087","-0.9281760999238431"
"1393","-1.2553902163729262","-0.7641551749640043","-1.0089442783811893","-0.7856644877316254","0.14478810247031287","-0.11438379753184415","-1.2008778219351686","-1.24810273763702","-0.8820997084592113"
"1394","-1.2799487421062286","-0.7002683750447192","-0.9899090231314265","-0.7832203432645111","0.15071784360788068","-0.10976807676878737","-1.1492704910231515","-1.2525839230079199","-0.83832804311912"
"1395","-1.28340555769413","-0.6475438080519336","-0.9694453730901108","-0.7777109717835564","0.15536184094529426","-0.10077795360236136","-1.0791238877896718","-1.2317708949542308","-0.7930169333512225"
"1396","-1.2594648652792884","-0.6035136601843801","-0.9480610219938547","-0.7674300493739112","0.15782682243538884","-0.08904673392454453","-0.9973136179452583","-1.165410951287479","-0.7252978757213059"
"1397","-1.218428781823968","-0.5595407883990685","-0.9247407107350416","-0.7594470601409692","0.16158323263757257","-0.0745750850851206","-0.9086930351997616","-1.0676808442228412","-0.6609819694214348"
"1398","-1.1614419482825808","-0.5119235081310461","-0.8989768243857358","-0.7464489004852235","0.16732463290319965","-0.06086213311111071","-0.8225644391208705","-0.9487068017405116","-0.6017167465369809"
"1399","-1.096517106073045","-0.4890406299708422","-0.8702617428879036","-0.7264854585315532","0.1754470763912421","-0.046742353193490585","-0.7417589286867269","-0.8550697682450593","-0.557387311630304"
"1400","-1.0259435726676194","-0.47978727198076293","-0.8401184380852874","-0.7022382963576668","0.18714003328955234","-0.03198313032500764","-0.6682987004082941","-0.7746180889998802","-0.5225019518237738"
"1401","-0.9640298441028439","-0.5532597942241089","-0.8029627868918512","-0.6759014256194867","0.1993284658292307","-0.018217685871550347","-0.6122949454203087","-0.7154527294147592","-0.5107899637943687"
"1402","-0.9102035201423968","-0.5749667786801554","-0.7598101014425066","-0.6452809461549046","0.21141672855565177","-0.004746906995361331","-0.5984190473612708","-0.6451694140467543","-0.5008336398115943"
"1403","-0.869043274853272","-0.5634161022571857","-0.7106603900645525","-0.6103769057730859","0.22161909330924623","0.014725897160320595","-0.6007861535292519","-0.579970156054585","-0.508009781086101"
"1404","-0.852568224659947","-0.5186076594327157","-0.6544983572396315","-0.5716768920941189","0.227653974432124","0.03903402082278311","-0.6064538042129108","-0.5542843266926547","-0.5224332777905258"
"1405","-0.84818677533711","-0.45411386014984695","-0.5933545976888589","-0.5277183066738776","0.23021505387058958","0.06980955613526749","-0.6024795368692288","-0.5215308156835258","-0.5215880617346262"
"1406","-0.8541818270603841","-0.3946118991848039","-0.524183208092863","-0.48191399736587137","0.23326880633131414","0.10448644255654636","-0.5823920840194257","-0.47360849116648923","-0.5224984328606889"
"1407","-0.8528106995781197","-0.3092550296933303","-0.4464765260339042","-0.4328013548469394","0.23770729932514967","0.1425977226667117","-0.5397201753136056","-0.41456779326388804","-0.5213201548071461"
