"Raman Shift [cm -1]","noFluo2","noFluo3","noFluo5","noFluo6","noFluo8","noFluo9","noFluo10","noFluo11","noFluo12","noFluo13","noFluo14","noFluo15","noFluo17","noFluo18","noFluo19"
"1576","-14.15343369440868","-21.409653230946052","-44.49110728543241","-13.532058651921357","-15.052690515157234","-23.90553645642614","-20.030353257160158","-39.95327338271327","-8.235377864593303","-17.525373071745797","-14.849997025578583","-15.870162891899549","-8.406276857931983","-11.34356964532556","-51.47007769487774"
"1577","-13.867463106224985","-20.21962181405503","-44.26605596251346","-13.361331918962621","-14.894974460274948","-23.43219656407701","-19.622441821608547","-38.97729263029308","-7.9017645514157255","-17.18303481603143","-14.927552301100862","-15.488951554749592","-8.186532455657419","-11.317807838457178","-50.877405427385966"
"1578","-13.498726532881873","-18.99474271132847","-44.15200149625513","-13.138890542682308","-14.691169876761968","-22.846868150117476","-19.190931786838","-38.0836526196809","-7.64455026991126","-16.712928281202593","-15.089218178401758","-15.148324141832006","-7.952817178527631","-11.285460195802465","-50.40756699371792"
"1579","-13.076731395598406","-17.77031319384031","-44.14569921868702","-12.874810442922122","-14.43223409077503","-22.176640301828346","-18.753269476021348","-37.36447816474365","-7.461560569237832","-16.160265568223476","-15.314972922390195","-14.862613698031621","-7.711934243179326","-11.256574863327362","-50.08724729857436"
"1580","-12.62648641242134","-16.588096071816985","-44.22957184225205","-12.563347166922739","-14.107130340150631","-21.453873334867648","-18.314406411727806","-36.81250786553474","-7.349138776263061","-15.577547567505208","-15.580139664935768","-14.635059392792911","-7.469173806453512","-11.235528471189141","-49.94118149818621"
"1581","-12.173635897267921","-15.479564138575352","-44.37231622230234","-12.189426710321424","-13.745979465583266","-20.711650000167626","-17.858074677876683","-36.34478879197511","-7.2902387488772025","-14.979302122834769","-15.850010559293112","-14.456861592067112","-7.2280810812808065","-11.218363331750897","-49.97608543512545"
"1582","-11.74378536331925","-14.468363938150631","-44.58317775236723","-11.770405903337672","-13.398888896472178","-19.9719030193174","-17.354750204389177","-35.814305467258905","-7.271850962619764","-14.35729369288807","-16.087989775090985","-14.3069866887266","-6.98962541874522","-11.205925603781692","-50.17461119388969"
"1583","-11.34362229549181","-13.567709001482786","-44.81852620877345","-11.337790284907888","-13.097620284123087","-19.26121411753443","-16.789366776486727","-35.010677450195395","-7.274310722935729","-13.77062576636154","-16.260053401540787","-14.159948744558442","-6.739496926380565","-11.205710703028503","-50.50566014440872"
"1584","-10.95738185044274","-12.78340013579328","-44.990988116938716","-10.898322025116908","-12.840888052832986","-18.591333829605073","-16.164253232388944","-33.931187352317","-7.2650508218485506","-13.247883856820437","-16.33288664532939","-13.981737992179369","-6.484531588885033","-11.202529968834245","-50.921070864778784"
"1585","-10.571438160449112","-12.11701382984741","-45.02536172641995","-10.434756736533814","-12.62969659827911","-17.964195991768342","-15.513761482273914","-32.665522864636664","-7.232848880646688","-12.799253376764842","-16.281642284552195","-13.741760931133713","-6.2497412197498825","-11.174827572296023","-51.363870349019884"
"1586","-10.171658922302678","-11.561573751067034","-44.81698609219927","-9.93765091353845","-12.477921930409359","-17.37053996310954","-14.929514817085648","-31.210741006700346","-7.164020586277143","-12.422479057599643","-16.08819574100321","-13.413837428849144","-6.0482323017794934","-11.097824477564856","-51.78001506990684"
"1587","-9.744852739833261","-11.110039633889295","-44.28784155695894","-9.408886569748802","-12.389123267967946","-16.788368595754427","-14.47223592749639","-29.559134791046297","-7.020075729672276","-12.101688137714683","-15.740501601734376","-12.967248063106227","-5.890046566741901","-10.955732934546656","-52.09655329783889"
"1588","-9.272409703145488","-10.756424187484853","-43.532047334785844","-8.8547533633393","-12.365261879442981","-16.18722842721369","-14.079810671653508","-27.7190776654408","-6.773727867270544","-11.795309202735723","-15.239382024683335","-12.365317696416964","-5.781958096756754","-10.734904304937976","-52.243254086374705"
"1589","-8.735698489589087","-10.484511935843734","-42.553382283311606","-8.26467323446389","-12.406312677600194","-15.525749776196477","-13.682932519255193","-25.702097906855556","-6.450977412483992","-11.468943682796278","-14.593034951057184","-11.572880209821614","-5.7264414401770685","-10.429863844781588","-52.165391813324405"
"1590","-8.118503078263242","-10.264817671360204","-41.32470132798735","-7.645364656192826","-12.500241031438144","-14.7451076113231","-13.264389507702594","-23.50988151776133","-6.059583132966795","-11.11251561064994","-13.812332655882162","-10.572981884012178","-5.716009775781355","-10.045071090885676","-51.836689175946844"
"1591","-7.412162846165074","-10.071587420516876","-39.858153818769516","-7.006664856456501","-12.632523539477127","-13.806720101006585","-12.815545401167764","-21.13126546068789","-5.610810942563801","-10.702770172086094","-12.908756047349849","-9.408183814288273","-5.754824574547759","-9.597091841449686","-51.24622347117149"
"1592","-6.606015079796648","-9.8985530327597","-38.1711796645424","-6.343655421645976","-12.794839817547334","-12.666167453206318","-12.317730994553722","-18.569936206742682","-5.108852258482093","-10.240151000283683","-11.89733959417387","-8.112532924530038","-5.845771928096582","-9.10876047485156","-50.40382369707653"
